state_abbr,state_fips,county_fips,county_name,tract_code,stcotr_fips,stpl_fips,city_name,domain_name,metric_name,metric_number,group_name,group_number,num,denom,est,lci,uci,data_yr_type,geo_level,date_export,version
NY,36,29,Erie County,110,36029000110,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.6,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,200,36029000200,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.6,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,500,36029000500,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,600,36029000600,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.6,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,700,36029000700,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.5,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,800,36029000800,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.6,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,900,36029000900,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.6,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,1000,36029001000,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.6,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,1100,36029001100,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.6,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,1402,36029001402,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,1500,36029001500,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,1600,36029001600,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,1700,36029001700,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,1900,36029001900,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.6,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,2300,36029002300,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,2400,36029002400,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,2502,36029002502,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.8,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,2702,36029002702,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,2800,36029002800,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,2900,36029002900,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,3000,36029003000,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,3100,36029003100,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.8,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,3301,36029003301,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.8,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,3302,36029003302,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.8,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,3400,36029003400,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.8,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,3500,36029003500,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.8,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,3600,36029003600,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,3700,36029003700,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
NY,36,29,Erie County,3800,36029003800,3611000,Buffalo,Physical Environment,Air pollution - particulate matter,2,total population,1,-999,-999,7.7,-999,-999,2016,tract,43868,8.1
